EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11W0-0000-0164-J,E-HEIZER_K1-3,E-Heizer Reuter West K1-3,,11XVE-BUHEATVK-I,Active,,,,Load,W
11W0-0000-0166-D,KWH_BAT,Herrenhausen KWH Batterie,,11XSWHANNOVERAG3,Active,,,,Generation,W
11W0-0000-0167-A,HOHESEE_OFFSHORE,Hohe_See-Erzeugungsanlage,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0168-7,ALBATROSS_OFFSH,Albatross-Erzeugung,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0169-4,HOHE_SEE_PROD,Hohe_See-Produktionsanlage,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0170-R,ALBATROSS_PROD,Albatross-Produktionsanlage,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0171-O,NORTHLAND_DBU,NORTHLAND DEUTSCHE BUCHT GMBH,,,Active,,,,Generation,W
11W0-0000-0177-6,BALTIC1_ERZ,Baltic1-Erzeugungsanlage,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0178-3,BALTIC2_ERZ,Baltic2-Erzeugungsanlage,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0180-N,HKW_DD_NORD,HKW Dresden-Nord,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0190-J,HKWD-C-GT,Heizkraftwerk Dieselstraße Block C Gasturbine,,11XEVHALLE-747-Y,Active,,,,Generation Unit,W
11W0-0000-0191-G,VB_BE_WIND,UW Bertikow Windkraft,,,Active,,,,Production Unit,W
11W0-0000-0196-1,KMW_KW2GT,KMW KW2 GT,,11XKMW---------H,Active,,,,Generation,W
11W0-0000-0197-Z,KMW_KW2DT,KMW KW2 DT,,11XKMW---------H,Active,,,,Generation,W
11W0-0000-0200-D,KW5,KW5,,11XKMW---------H,Active,,,,Generation,W
11W0-0000-0206-W,KSP__BIG_BATT_E,Schwarze Pumpe Big Battery Lausitz Entladen,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0207-T,KSP__BIG_BATT_L,Schwarze Pumpe Big Battery Lausitz Laden,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0208-Q,AHR-_GT_AB,Ahrensfelde AB - LEAG_AHF_AB_01,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0209-N,AHR-_GT_CD,Ahrensfelde CD - LEAG_AHF_CD_02,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0210-9,THY-_GT_AB,Thyrow AB - LEAG_Thy_AB_03,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0211-6,THY-_GT_CDE,Thyrow CDE - LEAG_Thy_CDE_04,,11XVEGENERATIONB,Active,,,,Generation,W
11W0-0000-0212-3,NORDERGRUENDE,OWP Nordergründe GmbH & Co. KG,,,Active,,,,Generation,W
11W0-0000-0215-V,FANKEL,FANKEL,,11X0-0000-0563-P,Active,,,,Production Plant,W
11W0-0000-0216-S,EIF_DROHN,EIF_DROHN,,11X0-0000-0563-P,Active,,,,Resource Object,W
